82454873;82454873;BOSS THE SCENT DEO SPRAY ;150;;20,40;25,50   ;737052992785
82454899;82454899;BOSS THE SCENT DEO STICK ;75;;20,42;24,50   ;737052993546
82463174;82463174;BOSS BOTTLED INTENSE EDP VAPO ;50;36;57,60;72,00   ;8005610258430
82463175;82463175;BOSS BOTTLED INTENSE EDP VAPO ;100;30;76,00;95,00   ;8005610258461
82457994;82451290;BOSS BOTTLED OUD EDP VAPO ;50;36;69,60;87,00   ;737052933221
82457995;82451291;BOSS BOTTLED OUD EDP VAPO ;100;24;91,20;114,00   ;737052933269
82457982;82442999; BOSS BOTTLED EDT VAPO ;30;25;42,40;53,00   ;737052351001
82443000;9350; BOSS BOTTLED EDT VAPO ;50;36;52,80;66,00   ;737052351018
82459405;9351; BOSS BOTTLED EDT VAPO ;100;24;69,60;87,00   ;737052351100
82459406;9364; BOSS BOTTLED EDT VAPO ;200;18;97,60;122,00   ;737052189765
82459557;9360;BOSS BOTTLED  DEO STICK    ;75;54;19,60;24,50   ;737052354996
82447840;9359; BOSS BOTTLED DEO SPRAY           ;150;6;20,40;25,50   ;737052355054
82457991;81188048;BOSS BOTTLED NIGHT EDT ;50;18;52,80;66,00   ;737052352084
82432257;81188045;BOSS BOTTLED NIGHT EDT;100;15;69,60;87,00   ;737052352060
82447582;82447582;BOSS BOTTLED NIGHT EDT;200;18;97,60;122,00   ;737052488257
81188013;81149243; BOSS BOTTLED NIGHT DEO STICK  ;75;3;19,60;24,50   ;737052354966
82442208;82442208; BOSS BOTTLED UNLIMITED EDT  ;50;18;52,80;66,00   ;737052766744
82457469;82442209; BOSS BOTTLED UNLIMITED EDT  ;100;15;69,60;87,00   ;737052766775
82454626;82454626;HUGO MAN EXTREME EDP VAPO;60;25;48,00;60,00   ;737052987200
82461723;82454627;HUGO MAN EXTREME EDP VAPO ;100;16;65,60;82,00   ;737052987248
82455850;9302;HUGO MAN EDT                  ;40;60;39,20;49,00   ;737052319995
82455848;82435877;HUGO MAN EDT                  ;75;36;45,60;57,00   ;737052664026
82438757;82438757;HUGO MAN EDT                  ;125;27;63,20;79,00   ;737052713984
82452904;82426845;HUGO MAN EDT                  ;200;18;77,60;97,00   ;737052515045
82423207;9313; HUGO MAN DEO STICK      ;75;6;19,60;24,50   ;737052320441
82449532;82423020; JUST DIFFERENT EDT  ;40;54;39,20;49,00   ;737052465364
82423033;82423033; JUST DIFFERENT EDT  ;75;16;45,60;57,00   ;737052465678
82449534;82438758; JUST DIFFERENT EDT  ;125;27;63,20;79,00   ;737052714028
82449535;82449535; JUST DIFFERENT EDT  ;200;18;77,60;97,00   ;737052849928
82449542;82446348; HUGO RED EDT  ;200;18;76,00;95,00;737052849973
82442280;9380; HUGO XY EDT  ;100;24;60,80;76,00   ;737052130934
80957439;9321; HUGO ENERGISE EDT  ;75;27;46,40;58,00   ;737052139906
80957545;9320; HUGO ENERGISE EDT  ;125;24;60,80;76,00   ;737052139890
82455625;81187236; BOSS ORANGE MAN EDT   ;60;24;49,60;62,00   ;737052347998
