82455635;'BOSS ORANGE WOMAN EDP 50 ML';50;36;737052649757;58,40;73,00;'';'';'
81117891;'BOSS ORANGE WOMAN EDT 30 ML';30;;737052238050;38,40;48,00;'';'';'
82419392;'BOSS ORANGE SUNSET EDT 50 ML';50;36;737052412214;49,60;62,00;'';'';'
82445227;'HUGO XX EDT 100 ML';100;24;737052130729;60,80;76,00;'';'';'
82465675;'BOSS THE SCENT EDT VAPO 50 ML';50;20;737052972268;56,00;70,00;'';'';'
82465672;'BOSS THE SCENT EDT VAPO 100 ML';100;12;737052972305;76,00;95,00;'';'';'
82461573;'BOSS THE SCENT EDT VAPO 200 ML';200;15;NC;101,60;127,00;'';'';'
82454873;'BOSS THE SCENT DEO SPRAY 150 ML';150;;737052992785;20,40;25,50;'';'';'
82454899;'BOSS THE SCENT DEO STICK 75 ML';75;;737052993546;20,42;24,50;'';'';'
82463174;'BOSS BOTTLED INTENSE EDP VAPO 50 ML';50;36;8005610258430;57,60;72,00;'';'';'
82463175;'BOSS BOTTLED INTENSE EDP VAPO 100 ML';100;30;8005610258461;76,00;95,00;'';'';'
82457994;'BOSS BOTTLED OUD EDP VAPO 50 ML';50;36;737052933221;69,60;87,00;'';'';'
82457995;'BOSS BOTTLED OUD EDP VAPO 100 ML';100;24;737052933269;91,20;114,00;'';'';'
82457982;'BOSS BOTTLED EDT VAPO 30 ML';30;25;737052351001;42,40;53,00;'';'';'
82443000;'BOSS BOTTLED EDT VAPO 50 ML';50;36;737052351018;52,80;66,00;'';'';'
82459405;'BOSS BOTTLED EDT VAPO 100 ML';100;24;737052351100;69,60;87,00;'';'';'
82459406;'BOSS BOTTLED EDT VAPO 200 ML';200;18;737052189765;97,60;122,00;'';'';'
82459557;'BOSS BOTTLED  DEO STICK 75 ML';75;54;737052354996;19,60;24,50;'';'';'
82447840;'BOSS BOTTLED DEO SPRAY 150 ML';150;6;737052355054;20,40;25,50;'';'';'
82457991;'BOSS BOTTLED NIGHT EDT 50 ML';50;18;737052352084;52,80;66,00;'';'';'
82432257;'BOSS BOTTLED NIGHT EDT 100 ML';100;15;737052352060;69,60;87,00;'';'';'
82447582;'BOSS BOTTLED NIGHT EDT 200 ML';200;18;737052488257;97,60;122,00;'';'';'
81188013;'BOSS BOTTLED NIGHT DEO STICK 75 ML';75;3;737052354966;19,60;24,50;'';'';'
82442208;'BOSS BOTTLED UNLIMITED EDT 50 ML';50;18;737052766744;52,80;66,00;'';'';'
82457469;'BOSS BOTTLED UNLIMITED EDT 100 ML';100;15;737052766775;69,60;87,00;'';'';'
82454626;'HUGO MAN EXTREME EDP VAPO 60 ML';60;25;737052987200;48,00;60,00;'';'';'
82461723;'HUGO MAN EXTREME EDP VAPO 100 ML';100;16;737052987248;65,60;82,00;'';'';'
82455850;'HUGO MAN EDT 40 ML';40;60;737052319995;39,20;49,00;'';'';'
82455848;'HUGO MAN EDT 75 ML';75;36;737052664026;45,60;57,00;'';'';'
82438757;'HUGO MAN EDT 125 ML';125;27;737052713984;63,20;79,00;'';'';'
82452904;'HUGO MAN EDT 200 ML';200;18;737052515045;77,60;97,00;'';'';'
82423207;'HUGO MAN DEO STICK 75 ML';75;6;737052320441;19,60;24,50;'';'';'
82449532;'JUST DIFFERENT EDT 40 ML';40;54;737052465364;39,20;49,00;'';'';'
82423033;'JUST DIFFERENT EDT 75 ML';75;16;737052465678;45,60;57,00;'';'';'
82449534;'JUST DIFFERENT EDT 125 ML';125;27;737052714028;63,20;79,00;'';'';'
82449535;'JUST DIFFERENT EDT 200 ML';200;18;737052849928;77,60;97,00;'';'';'
82449542;'HUGO RED EDT 200 ML';200;18;737052849973;76,00;95,00;'';'';'
82442280;'HUGO XY EDT 100 ML';100;24;737052130934;60,80;76,00;'';'';'
80957439;'HUGO ENERGISE EDT 75 ML';75;27;737052139906;46,40;58,00;'';'';'
80957545;'HUGO ENERGISE EDT 125 ML';125;24;737052139890;60,80;76,00;'';'';'
82455625;'BOSS ORANGE MAN EDT 60 ML';60;24;737052347998;49,60;62,00;'';'';'
82443593;'BOSS ORANGE MAN EDT 100 ML';100;18;737052347974;64,00;80,00;'';'';'
81187199;'BOSS ORANGE MAN AFTER SHAVE LOTION 100 ML';100;;737052347837;46,40;58,00;'';'';'
82428730;'BOSS IN MOTION EDT 90 ML';90;15;737052852034;56,80;71,00;'';'';'
82451278;'BOSS SELECTION EDT 90 ML';90;21;737052006468;60,80;76,00;'';'';'
82452454;'PURE FOR MAN EDT *** 75 ML';75;27;737052145679;60,00;75,00;'';'';'
82425271;'BOSS SOUL EDT 90 ML';90;30;737052373034;60,00;75,00;'';'';'
82451269;'BOSS N�1 EDT 125 ML';125;21;4084500357150;60,80;76,00;'';'';'
82455728;'LACOSTE EAU L.12.12 POUR ELLE ELEGANT WHITE EDT 30 ML';30;24;730870124475;33,60;42,00;'';'';'
82455729;'LACOSTE EAU L.12.12 POUR ELLE ELEGANT WHITE EDT 50 ML';50;36;730870124512;44,80;56,00;'';'';'
82455730;'LACOSTE EAU L.12.12 POUR ELLE ELEGANT WHITE EDT 90 ML';90;12;730870124550;61,60;77,00;'';'';'
